           d-spacing  Intensity (counts)
            0.625521       228.570335927
            0.625646                 0.0
            0.625771                 0.0
            0.625896                 0.0
            0.626021                 0.0
            0.626146                 0.0
            0.626271       28.0771222403
            0.626396       829.367486973
            0.626521                 0.0
            0.626646                 0.0
            0.626771                 0.0
            0.626897                 0.0
            0.627022                 0.0
            0.627147                 0.0
            0.627272                 0.0
            0.627397       50.4734777542
            0.627522       806.971775014
            0.627647                 0.0
            0.627772       681.726330103
            0.627897       175.719458961
            0.628022                 0.0
            0.628148                 0.0
            0.628273                 0.0
            0.628398                 0.0
            0.628523                 0.0
            0.628648                 0.0
            0.628773                 0.0
            0.628898                 0.0
            0.629023       10.4277030552
            0.629148       542.323749075
            0.629273       292.530043773
            0.629398       217.449706541
            0.629524       653.542914038
            0.629649       79.0965491031
            0.629774       1302.10471283
            0.629899        649.92077231
            0.630024       539.823538127
            0.630149                 0.0
            0.630274                 0.0
            0.630399                 0.0
            0.630524       549.512257769
            0.630651       294.741727588
            0.630778                 0.0
            0.630905                 0.0
            0.631032                 0.0
            0.631159                 0.0
            0.631287                 0.0
            0.631414                 0.0
            0.631541       1.13598173064
            0.631668       155.978411135
            0.631795       480.506006592
            0.631922       661.513341987
            0.632049       390.453363649
            0.632176       138.230238444
            0.632303       938.010286988
             0.63243         1042.582602
            0.632557       417.894546348
            0.632684       555.814805828
            0.632811        283.40121693
            0.632938       1.12120141882
            0.633065       120.212845269
            0.633192       498.642457431
            0.633319       224.277824468
            0.633446                 0.0
            0.633573                 0.0
              0.6337       5.98477135482
            0.633827       554.165159995
            0.633954       759.334765664
            0.634082        869.33868438
            0.634209       546.653801238
            0.634336       641.537396608
            0.634463       684.568697761
             0.63459       351.375635019
            0.634717       652.562565344
            0.634844       241.214045342
            0.634971       1431.43780421
            0.635098       513.820700722
            0.635225        348.21792544
            0.635352        149.62437868
            0.635479       484.916503123
            0.635606       207.786729096
            0.635733       768.081749908
             0.63586       392.131969454
            0.635987       1095.86680596
            0.636114       304.374672469
            0.636241       816.557525865
            0.636368                 0.0
            0.636495                 0.0
            0.636622                 0.0
             0.63675                 0.0
            0.636877                 0.0
            0.637004                 0.0
            0.637131                 0.0
            0.637258                 0.0
            0.637385                 0.0
            0.637512                 0.0
            0.637639       411.698184854
            0.637766       1278.33608366
            0.637893       95.5113832146
             0.63802        1008.5128034
            0.638147       895.600016353
            0.638274       405.129634086
            0.638401        126.48214299
            0.638528                 0.0
            0.638655       6.86187238438
            0.638782       366.308254841
            0.638909       374.575790654
            0.639036       96.5074990047
            0.639163       118.867815442
             0.63929       725.386169916
            0.639417                 0.0
            0.639545       2.48391828121
            0.639672       130.901220253
            0.639799       1315.32976688
            0.639926       889.931369912
            0.640053       932.241889531
             0.64018       354.283430762
            0.640307       1105.48795233
            0.640436       1131.66991253
            0.640565       12.8294822741
            0.640694       472.617095602
            0.640823        1146.2142542
            0.640952       44.0922014741
            0.641081       7.52198813956
             0.64121       1059.98969057
            0.641339       1643.62859429
            0.641468       595.728083291
            0.641597       18.9759682598
            0.641726                 0.0
            0.641855                 0.0
            0.641984       785.713010118
