           d-spacing  Intensity (counts)
            0.625521       467.034099734
            0.625646       594.049199442
            0.625771       583.257544201
            0.625896                 0.0
            0.626021                 0.0
            0.626146       4.84213346922
            0.626271       355.171899532
            0.626396       984.516574503
            0.626521       165.625272004
            0.626646                 0.0
            0.626771       3.15905588553
            0.626897       219.178656491
            0.627022       720.071275442
            0.627147        64.360152328
            0.627272                 0.0
            0.627397       29.6317141169
            0.627522        473.75290948
            0.627647       5.97920543615
            0.627772       758.236885443
            0.627897       614.405240929
            0.628022       175.442164594
            0.628148       313.180283156
            0.628273       146.296887266
            0.628398                 0.0
            0.628523                 0.0
            0.628648       319.617620741
            0.628773        183.76668801
            0.628898       3.90428334179
            0.629023       213.651223318
            0.629148       1456.81048846
            0.629273       835.418189153
            0.629398       127.659274251
            0.629524       383.678669543
            0.629649        46.435602121
            0.629774       764.433051132
            0.629899       382.488552352
            0.630024       368.195181928
            0.630149       309.794431234
            0.630274       141.375217446
            0.630399                 0.0
            0.630524       322.604877858
            0.630651       173.035483165
            0.630778                 0.0
            0.630905                 0.0
            0.631032                 0.0
            0.631159                 0.0
            0.631287                 0.0
            0.631414       2.42988556596
            0.631541       339.323190769
            0.631668       579.697267696
            0.631795        444.16055109
            0.631922       388.357908083
            0.632049       229.225386528
            0.632176       228.099497885
            0.632303       899.375968526
             0.63243       613.164118716
            0.632557       370.193823178
            0.632684       974.246303935
            0.632811       383.765566988
            0.632938      0.658229259963
            0.633065       75.1455106534
            0.633192       756.089636968
            0.633319       818.636907078
            0.633446       332.026953794
            0.633573                 0.0
              0.6337        3.5135093069
            0.633827       325.336480171
            0.633954       445.786414892
            0.634082       665.206243279
            0.634209       662.775633568
            0.634336       493.564267702
            0.634463       1275.18853016
             0.63459       206.283831188
            0.634717       383.103131388
            0.634844       142.775021951
            0.634971       943.202506326
            0.635098       1537.37323625
            0.635225       847.256391892
            0.635352       87.8407237078
            0.635479       284.682328828
            0.635606       121.986382311
            0.635733       450.921550176
             0.63586       230.210853937
            0.635987       644.470497737
            0.636114       313.415158136
            0.636241       1209.14647148
            0.636368       125.843873267
            0.636495       16.1639953645
            0.636622       327.314971288
             0.63675       545.194573936
            0.636877       102.434457042
            0.637004                 0.0
            0.637131                 0.0
            0.637258                 0.0
            0.637385                 0.0
            0.637512                 0.0
