       d-spacing  Intensity (counts)
         1.96016   892.285640715
         1.96055    1149.3068754
         1.96094   913.928142212
         1.96133     778.3618301
         1.96173   1017.38647785
         1.96212   1183.67544484
         1.96251   1034.94857755
         1.96291    1907.9908419
          1.9633   810.293492914
         1.96369   966.186251006
         1.96408   683.095782631
         1.96448   939.852546828
         1.96487   1111.41832972
         1.96526   1433.20334907
         1.96566   1028.31792464
         1.96605   512.962548212
         1.96644   318.048429187
         1.96683   1314.23570845
         1.96723   861.808565578
         1.96762   1084.92090571
         1.96801   884.471167524
         1.96841   587.005468813
          1.9688   1250.44164891
         1.96919   954.864395408
         1.96958   1208.66160892
         1.96998   1385.58606762
         1.97037   1377.00337064
         1.97077    1130.9387704
         1.97116   635.692596344
         1.97156   692.856002975
         1.97195   1057.25225527
         1.97235   562.072198831
         1.97274   885.440892642
         1.97314   944.915267574
         1.97353    915.71016954
         1.97393   1131.77626028
         1.97432   1269.28831954
         1.97472   1062.64241566
         1.97511   1237.42592281
         1.97551    1110.0644927
          1.9759   1056.26993632
          1.9763   604.757735388
         1.97669   883.488848573
         1.97709   1127.51324791
         1.97748   614.767943311
         1.97788   1166.51634778
         1.97827   962.565524104
         1.97867    1698.4483565
         1.97906   1476.17980316
         1.97946   622.970306549
         1.97985   591.539878277
         1.98025   441.483102258
         1.98065   892.506032788
         1.98104    1067.2013831
         1.98144   1981.91663986
         1.98184   1210.85923273
         1.98223   693.592742188
         1.98263    1224.7502302
         1.98303   1220.34238875
         1.98343   1463.77487795
         1.98382   995.945477679
         1.98422   1504.00587651
         1.98462   1089.94584496
         1.98501   1026.11400391
         1.98541   1002.19831562
         1.98581   830.632532726
          1.9862   953.718356632
          1.9866   1162.61855656
           1.987   1121.80194478
         1.98739   1055.10500679
         1.98779   1237.52667347
         1.98819   731.430912539
         1.98858    1187.8943788
         1.98898    616.57767707
         1.98938    1048.6758552
         1.98978   1163.95350283
         1.99018   1326.85472882
         1.99057   942.276859623
         1.99097   909.167673451
         1.99137   1291.02527479
         1.99177    1084.1841665
         1.99217   1051.17573099
         1.99257   876.738554246
         1.99297   1130.33426643
         1.99337   846.626700257
         1.99376   830.934784711
         1.99416   1005.74347952
         1.99456    1274.5084632
         1.99496   1095.44305294
         1.99536   1657.34208657
         1.99576   1449.31715801
         1.99616   1096.28054281
         1.99656   1070.46948269
         1.99695   620.693341597
         1.99735   540.848442271
