           d-spacing  Intensity (counts)
            0.625521       583.473043017
            0.625646       989.640674045
            0.625771       562.616429325
            0.625896                 0.0
            0.626021                 0.0
            0.626146       3.10094535463
            0.626271        227.45524446
            0.626396       692.377472516
            0.626521       471.132837249
            0.626646       217.791518812
            0.626771       2.02308749553
            0.626897       140.363961671
            0.627022       780.409157918
            0.627147       44.3174812747
            0.627272       270.141941787
            0.627397       393.577849909
            0.627522       303.395578258
            0.627647       3.82913635889
            0.627772       485.581647547
            0.627897       393.470582715
            0.628022       112.354723133
            0.628148       200.563439729
            0.628273       93.6898282228
            0.628398     0.0584707019002
            0.628523       7.07257771148
            0.628648       415.962819477
            0.628773       224.284006833
            0.628898       144.394949886
            0.629023       314.668715067
            0.629148         932.9543982
            0.629273       535.807696181
            0.629398       125.875631881
            0.629524       438.134061178
            0.629649       114.766621943
            0.629774       489.549727182
            0.629899       331.406026577
            0.630024       471.709499229
            0.630149       198.395110034
            0.630274       90.5379470817
            0.630399       225.036490227
            0.630524       744.220594253
            0.630651        303.85247198
            0.630778                 0.0
            0.630905       160.482206073
            0.631032       157.530745215
            0.631159       91.6348146231
            0.631287       164.512791028
            0.631414       62.2202145473
            0.631541        218.68473999
            0.631668       558.656414893
            0.631795       618.605065153
            0.631922       781.485862453
            0.632049       370.093189979
            0.632176       350.978660029
            0.632303       679.098116583
             0.63243       451.155330631
            0.632557       496.009954393
            0.632684       697.805353806
            0.632811       489.291640702
            0.632938      0.421535874411
            0.633065       48.1238535995
            0.633192        485.94458166
            0.633319       697.160137605
            0.633446       355.412101849
            0.633573       31.0788142879
              0.6337        290.48681838
            0.633827       434.347448599
            0.633954       674.952602492
            0.634082       443.461127436
            0.634209       424.447412518
            0.634336       316.082948327
            0.634463       817.472796055
             0.63459       202.361576629
            0.634717       420.555952306
            0.634844        165.87016461
            0.634971       866.710857381
            0.635098       1515.89513785
            0.635225       697.482745705
            0.635352       57.4319038168
            0.635479       270.801675352
            0.635606       246.965372593
            0.635733       545.752090876
             0.63586       259.698714316
            0.635987       419.793790669
            0.636114       200.713855756
            0.636241       936.978934253
            0.636368       235.375273325
            0.636495       223.097212283
            0.636622       314.281988606
             0.63675       349.147455799
            0.636877       308.239135626
            0.637004       234.359864329
            0.637131       342.378734592
            0.637258       132.858887475
            0.637385                 0.0
            0.637512       1.16705093367
            0.637639       227.517346519
            0.637766       767.964550444
            0.637893       225.253847435
             0.63802       463.398308042
            0.638147       595.893454884
            0.638274       210.549773478
            0.638401       47.5532405219
            0.638528       286.927241252
            0.638655       301.679706424
            0.638782       536.541629609
            0.638909       507.103640446
            0.639036       272.222764035
            0.639163       45.3276478891
             0.63929       340.987487159
            0.639417       847.390664767
            0.639545       745.390048617
            0.639672       379.946044626
            0.639799       689.115098101
            0.639926       370.392005732
            0.640053       403.409331769
             0.64018        397.69513579
            0.640307       415.628113572
            0.640436       657.495471658
            0.640565       224.719124508
            0.640694       637.405052205
            0.640823        642.65953164
            0.640952         344.9737135
            0.641081       475.725970079
             0.64121       967.622671192
            0.641339       626.383952974
            0.641468       405.869218535
            0.641597       520.620919854
            0.641726       218.104851929
            0.641855       169.364816858
            0.641984       584.819931837
            0.642113       559.712956422
            0.642242       749.362160854
            0.642371       321.572125156
              0.6425       601.861704741
            0.642629        744.20849645
            0.642758        323.51462918
            0.642887       507.047184028
            0.643016       221.000259631
            0.643145       534.783415462
            0.643274       299.427901883
            0.643403       604.982938113
            0.643532       460.914225669
            0.643661       284.239915775
             0.64379       372.466375818
            0.643919       535.118121366
            0.644048       544.219702399
            0.644177       574.750526502
            0.644306       183.448273482
            0.644435       448.816421903
            0.644564        187.36312278
            0.644693        158.09288983
            0.644822       55.1809057961
            0.644951       214.817878646
             0.64508       307.263649382
            0.645209       224.669926773
            0.645338       448.509944208
            0.645467       272.654252369
            0.645596        96.228350713
            0.645725       258.716775911
            0.645854       932.543072872
            0.645983       765.202218584
            0.646112        247.47106079
            0.646241       301.406296059
             0.64637       885.103551706
            0.646499       461.551376667
            0.646628       482.766891871
            0.646757       583.005261272
            0.646886       1304.29648479
            0.647015       1525.88389116
            0.647144       1163.87727648
            0.647273       465.136359183
            0.647402       217.284217574
            0.647531       99.5258087594
             0.64766       244.730908237
            0.647789       573.480257107
            0.647918       115.390465358
            0.648047       92.2046211805
            0.648176       220.400611824
            0.648305       3.92203942661
            0.648434       206.527253726
            0.648563       463.793502965
            0.648692       909.033007554
            0.648821       783.514260884
             0.64895       537.469127898
            0.649079       250.816103531
            0.649208       201.024366053
            0.649337       420.193018193
            0.649466       654.785563615
            0.649595        444.53379937
            0.649724       163.254619436
            0.649853        187.07398527
            0.649982       723.045405062
            0.650113       250.416069487
