       d-spacing  Intensity (counts)
         1.96016   898.072397343
         1.96055   1031.31357542
         1.96094   942.959281915
         1.96133   977.058958129
         1.96173   936.289359439
         1.96212   929.550882741
         1.96251   910.065353476
         1.96291    1481.3518755
          1.9633   638.393039512
         1.96369   818.952760715
         1.96408   676.351915128
         1.96448   1113.98996635
         1.96487   1138.64932303
         1.96526   1368.87456129
         1.96566   999.560873133
         1.96605   644.486300009
         1.96644   483.274999629
         1.96683   1038.20125836
         1.96723    685.03410563
         1.96762   1120.30098732
         1.96801   942.971379718
         1.96841    903.49221343
          1.9688   1303.23994326
         1.96919   1013.37253243
         1.96958   1077.40217516
         1.96998    1247.4569701
         1.97037   1171.06337192
         1.97077   1224.16063264
         1.97116   596.921768204
         1.97156   651.837732097
         1.97195   1411.99113391
         1.97235   953.790848886
         1.97274    769.01302677
         1.97314   1009.94885397
         1.97353   975.022494495
         1.97393   1241.48065504
         1.97432   1298.72746245
         1.97472   1201.27158792
         1.97511   1230.29018655
         1.97551   1350.41331274
          1.9759   1352.05861405
          1.9763   1100.18637225
         1.97669   1206.23975267
         1.97709   1140.67368886
         1.97748   852.221721071
         1.97788     1147.569437
         1.97827   1186.21788743
         1.97867   1727.09859599
         1.97906   1411.86612327
         1.97946   785.078910171
         1.97985   801.100434958
         1.98025   660.741715669
         1.98065   904.996373698
         1.98104   1048.31098971
         1.98144   1546.20820149
         1.98184   1252.54208028
         1.98223   622.669927218
         1.98263   1017.74790479
         1.98303   1080.03546378
         1.98343   1156.01370403
         1.98382    781.51005806
         1.98422   1031.47084687
         1.98462   1150.48097511
         1.98501    1122.8052327
         1.98541   822.001407264
         1.98581   760.705868185
          1.9862   888.704664627
          1.9866   965.933011266
           1.987   1246.76739528
         1.98739   1275.33837517
         1.98779   1403.53073648
         1.98819   1154.74746724
         1.98858   1252.85662318
         1.98898    843.09594443
         1.98938   985.555648974
         1.98978   1143.22229285
         1.99018   1138.35091053
         1.99057   997.084855962
         1.99097    916.18280958
         1.99137   1051.76289638
         1.99177    1030.2812295
         1.99217   1035.79782801
         1.99257   843.144335645
         1.99297    1208.6068896
         1.99337   778.864671637
         1.99376   841.402251903
         1.99416   946.858807328
         1.99456    1136.6330224
         1.99496   1105.95299205
         1.99536   1472.76243483
         1.99576   1278.66123861
         1.99616   1091.81872465
         1.99656   917.646643836
         1.99695   815.359712997
         1.99735   663.173374226
         1.99775   1403.00649831
         1.99815    1867.5137717
         1.99855   1093.50838458
         1.99895   846.027645543
         1.99935   945.273995035
         1.99975   1312.97061009
         2.00015   1368.33016012
         2.00055   1437.37232621
         2.00095   1263.30509303
         2.00135   849.136781111
         2.00175   579.351724535
         2.00215   904.738287218
         2.00255    1183.2337625
         2.00296   1229.83047001
         2.00336   1729.77221063
         2.00376   1702.24567446
         2.00416   1676.87254736
         2.00456   1024.34927305
         2.00496   1103.94475662
         2.00536   1584.55420682
         2.00576   1005.73478565
         2.00616   1027.36162619
         2.00656   1057.16254946
         2.00696   1580.70307263
         2.00736   1499.72037422
         2.00776    1169.7285809
         2.00816   1470.37916748
         2.00856   1317.59600373
         2.00897   1299.88078641
         2.00937   1337.22267404
         2.00977   919.860541925
         2.01018    957.40002701
         2.01058   1112.28820862
         2.01098   1064.57043797
         2.01138   1103.50117049
         2.01179    1376.9558942
         2.01219    1354.1152407
         2.01259   1368.11643225
         2.01299    1708.4760434
          2.0134   1136.08055603
          2.0138   934.317417425
          2.0142   1634.05035463
          2.0146   1518.51229607
         2.01501   1559.34641638
         2.01541   1405.78496058
         2.01581   1430.24671979
         2.01621   1879.47849962
         2.01662   1530.73914307
         2.01702   1893.15708308
         2.01742   1728.93746217
         2.01783   2073.18450092
         2.01823   2107.41322037
         2.01863   2471.36354886
         2.01904   2702.50822021
         2.01944   3183.78708222
         2.01985    3540.0028815
         2.02025   3577.76819225
         2.02066   4397.71297287
         2.02106   4701.93241157
         2.02146   5693.62971225
         2.02187   6071.88770999
         2.02227    6710.5710968
         2.02268   6459.86427676
         2.02308   7449.34364676
         2.02349    9145.1331266
         2.02389   9679.25116286
          2.0243   12455.0115849
          2.0247   12554.5765099
         2.02511   14142.5342321
         2.02551   13008.6070852
         2.02592   14243.2686115
         2.02632   14222.2184329
         2.02672   16250.4152343
         2.02713   16088.5062939
         2.02753   17519.8377834
         2.02794   18295.1860267
         2.02834   17901.9267523
         2.02875   17326.8778133
         2.02916   18844.8699038
         2.02956         19558.6
         2.02997    17361.275902
         2.03038   18775.1462281
         2.03078   18633.7632281
         2.03119   16232.3491806
          2.0316   15642.8232031
           2.032   17001.6081961
         2.03241   13755.5658157
         2.03282   13935.1778756
         2.03322   12372.7465193
         2.03363   13075.9515261
         2.03404   11302.9377323
         2.03444   9149.40768393
