       d-spacing  Intensity (counts)
         2.08177         3.24528
         2.08219         259.466
         2.08261         1468.87
         2.08302         1103.61
         2.08344         1952.56
         2.08385         2418.23
         2.08427             0.0
         2.08469             0.0
          2.0851          2254.4
         2.08552         147.591
         2.08594             0.0
         2.08635             0.0
         2.08677         2.79057
         2.08719         266.019
          2.0876         1450.24
         2.08802         1113.09
         2.08844          1949.4
         2.08886             0.0
         2.08928             0.0
          2.0897             0.0
         2.09011             0.0
         2.09053             0.0
         2.09095         2140.55
         2.09137         250.217
         2.09179         4181.03
         2.09221         2079.57
         2.09262         1720.95
         2.09304         1581.53
         2.09346         6.96071
         2.09388         499.378
          2.0943         1335.64
         2.09472         562.104
         2.09513         928.844
         2.09555         4986.13
         2.09597         1762.18
         2.09639         1321.08
         2.09681         551.061
         2.09723         740.974
         2.09765         1206.57
         2.09807         423.876
         2.09849             0.0
         2.09891             0.0
         2.09933             0.0
         2.09975             0.0
