       d-spacing  Intensity (counts)
         1.96016   1275.85839714
         1.96055   1207.75955843
         1.96094   984.738811279
         1.96133   604.590907425
         1.96173   292.171798189
         1.96212   959.672346314
         1.96251   1039.62761223
         1.96291   2082.91919725
          1.9633   1061.06013696
         1.96369   663.571645208
         1.96408   607.782939934
         1.96448   1306.47016052
         1.96487   762.111705236
         1.96526    1229.6189746
         1.96566   1061.08802434
         1.96605   439.309909613
         1.96644   252.633927776
         1.96683   1183.44390756
         1.96723   986.171793616
         1.96762    1435.7388964
         1.96801    343.12526067
         1.96841   747.649953112
          1.9688    1409.7607286
         1.96919    1014.1235299
         1.96958   1189.99744205
         1.96998   760.435244613
         1.97037   1106.66780306
         1.97077   975.638944409
         1.97116   274.173711663
         1.97156   605.430746623
         1.97195   1220.71646458
         1.97235       491.29306
         1.97274   1037.33977441
         1.97314   1207.03019616
         1.97353   1133.85799933
         1.97393   1227.66685795
         1.97432   734.090250498
         1.97472   646.241783229
         1.97511   1218.96814032
         1.97551   922.789140034
          1.9759   1146.79345365
          1.9763   691.431138619
         1.97669   538.582549682
         1.97709   903.108157336
         1.97748    869.31830514
         1.97788   1308.55098816
         1.97827   905.678086735
         1.97867   1257.12022243
         1.97906   1526.27635073
         1.97946   648.571452117
         1.97985   195.978568514
         1.98025   229.603241608
         1.98065    1033.6640031
         1.98104    736.73740649
         1.98144   1256.12271227
         1.98184   1091.13667714
         1.98223   567.720572243
         1.98263   1378.58049169
         1.98303   1345.93080434
         1.98343    1381.6588295
         1.98382   706.835698732
         1.98422   1454.30545646
         1.98462    845.58185372
         1.98501   1072.81681314
         1.98541   801.440420293
         1.98581   458.161779028
          1.9862   833.960324071
          1.9866   951.544247405
           1.987   1230.46632194
         1.98739   981.539270629
         1.98779   1167.20487121
         1.98819   1191.47761841
         1.98858   803.285277791
         1.98898   125.740982215
         1.98938   644.122342289
         1.98978   1004.03366101
         1.99018   1212.01774696
         1.99057   533.185268907
         1.99097   799.540860624
         1.99137   1195.11370383
         1.99177    1676.4498963
         1.99217   1387.01106143
         1.99257    551.03748298
         1.99297   851.294476416
         1.99337   977.332566496
         1.99376   784.101977581
         1.99416   994.962754114
         1.99456   1656.37098213
         1.99496   1229.93002616
         1.99536   1262.31156562
         1.99576   846.096697673
         1.99616   1032.73192103
         1.99656    1466.6402595
         1.99695   566.900039693
         1.99735   53.0933899204
         1.99775   768.906572825
         1.99815   2206.72844205
         1.99855     1155.781771
         1.99895   595.071657251
         1.99935   432.250111906
         1.99975   822.141437573
         2.00015   917.774774449
         2.00055   740.582647264
         2.00095   951.932525553
         2.00135   405.967328102
         2.00175   629.365627484
         2.00215   1201.48489775
         2.00255   1555.22559718
         2.00296   527.960675375
         2.00336   1441.56306862
         2.00376   1928.54109274
         2.00416   1583.73508108
         2.00456   917.250277172
         2.00496   922.909270289
         2.00536    1609.5201824
         2.00576   994.814736478
         2.00616   1143.39333838
         2.00656    1334.2181044
         2.00696   1129.51400348
         2.00736   1198.80341883
         2.00776   897.290420666
         2.00816   1972.22774734
         2.00856    1529.0543629
         2.00897   1094.54751833
         2.00937   1522.84405771
         2.00977   466.560171013
         2.01018   832.015715556
         2.01058   1071.88365848
         2.01098    688.69066716
         2.01138    925.00189644
         2.01179   1457.69484582
         2.01219   1074.89764079
         2.01259   1571.81858875
         2.01299   2281.49880032
          2.0134    1193.0436021
          2.0138   1092.57394984
          2.0142   1683.18577135
          2.0146   1153.44352138
         2.01501   1415.16659011
         2.01541   1181.85647204
         2.01581   937.715324307
         2.01621   636.793324098
         2.01662   1148.38088917
         2.01702   2141.45051917
         2.01742   917.569909459
         2.01783    1424.9378993
         2.01823   1305.66571684
         2.01863   2259.56430274
         2.01904   1461.70633829
         2.01944   2541.51644846
         2.01985   2978.74767561
         2.02025   3484.06701556
         2.02066   4005.59321411
         2.02106   3694.41294814
         2.02146   5835.16628279
         2.02187   5622.09596762
         2.02227   6311.60073178
         2.02268   5281.31217435
         2.02308   5215.00456356
         2.02349   8714.53834954
         2.02389   10477.8359852
          2.0243   12535.1631476
          2.0247   12124.2533175
         2.02511   13485.8010551
         2.02551   11761.5028489
         2.02592   13345.3988187
         2.02632   12712.1407565
         2.02672   15208.8121514
         2.02713   15645.0351425
         2.02753   19303.6449841
         2.02794   17423.7137412
         2.02834   16124.3763146
         2.02875   16566.1767819
         2.02916   15057.1477036
         2.02956   15522.1161487
         2.02997   15011.5625619
         2.03038   17158.4618462
         2.03078         19558.6
         2.03119   14747.2759993
          2.0316   12233.4431393
           2.032   16189.2681046
         2.03241   12907.7814586
         2.03282   13173.0333536
         2.03322   11358.5301965
         2.03363   12794.7303073
         2.03404    8597.8832905
         2.03444   8086.42872678
         2.03485   9970.42509166
         2.03526   6716.16081975
         2.03566   8701.68870254
         2.03607   5605.36353915
         2.03648   2841.97079874
         2.03688   3742.93699072
         2.03729   3102.99668295
          2.0377   2828.16654525
          2.0381   2541.43064113
         2.03851   1667.41867529
         2.03892   2654.10638545
         2.03933   2650.92078849
         2.03974   2155.02952843
         2.04015   1477.14093096
         2.04055   2660.53120895
         2.04096   3023.39966262
         2.04137   2796.48219031
         2.04178   1540.01624873
         2.04219   1122.33836588
          2.0426   1253.82736631
         2.04301   1641.39760383
         2.04341   698.907101854
         2.04382   1397.73697712
         2.04423   781.669339903
         2.04464   982.422013491
         2.04505   1779.46159058
         2.04546   1540.05915239
         2.04587   1519.64773484
         2.04627   794.484663969
         2.04668   485.658736489
         2.04709   745.559472144
          2.0475   992.723182918
         2.04791   1025.34176512
         2.04832    489.13929613
         2.04873   307.294266719
         2.04914   1111.94495358
         2.04955   1004.67828855
         2.04996   1330.57129307
         2.05037    784.40873877
         2.05078   846.304780438
         2.05119   964.037793999
          2.0516   1067.07844825
         2.05201   1006.65507481
         2.05242    844.00943448
         2.05284   1274.50693176
         2.05325   657.277677881
         2.05366   1244.91413038
         2.05407    1452.0101105
         2.05448   831.765801721
         2.05489   643.531344334
          2.0553    921.42587615
         2.05571   880.556919599
         2.05612   1269.72317337
         2.05653   1451.19494091
         2.05694   1234.97120653
         2.05735   1298.35064234
         2.05776   1650.25721018
         2.05818   1708.89579126
         2.05859   1397.67262162
           2.059   440.459727775
         2.05941   429.316573965
         2.05982   953.648672063
         2.06024   724.670751339
         2.06065   1197.60211627
         2.06106   1370.11774422
         2.06147   1580.52803229
         2.06189   878.150024119
          2.0623   1266.70919106
         2.06271   1038.63439243
         2.06312   1004.03258842
         2.06354   826.455400863
         2.06395   1116.86814888
         2.06436   1068.76027183
         2.06477   382.747865818
         2.06519   874.729529605
          2.0656   943.109387307
         2.06601   745.636698737
         2.06642    501.37649334
         2.06684   1055.89453596
         2.06725   1577.10646518
         2.06766   1065.20784855
         2.06808   1470.04037478
         2.06849   1457.50177934
         2.06891   1105.28415994
         2.06932   1065.88465383
         2.06973   1089.13093091
         2.07015   686.250521341
         2.07056   1439.32135224
         2.07098   1451.75268853
         2.07139   1279.65537129
         2.07181   903.431007398
         2.07222   564.672267004
         2.07264   467.335654717
         2.07305   886.059314348
         2.07346   532.302526046
         2.07388   644.456990858
         2.07429   398.491364866
         2.07471   548.778605136
         2.07512   475.239581988
         2.07554   1030.54276164
         2.07595   1275.99783404
         2.07636   1256.16561593
         2.07678   835.493057423
         2.07719    649.96153079
         2.07761   468.128299886
         2.07803   1110.14299974
         2.07844   746.314576609
         2.07886     535.0944819
         2.07927   560.563168704
         2.07969   885.983160346
         2.08011   724.079753385
         2.08052   347.762074023
         2.08094   503.001469567
         2.08136   1338.78734449
         2.08177   1062.03941306
         2.08219   1234.63870315
         2.08261   1269.62664012
         2.08302   555.277437452
         2.08344   676.515680261
         2.08385   887.246673215
         2.08427   365.803064212
         2.08469   467.464365705
          2.0851   1277.72470647
         2.08552   978.051202847
         2.08594    1403.1964682
         2.08635   910.587338346
         2.08677   1055.83983379
         2.08719   661.205508207
          2.0876    890.33359175
         2.08802   516.148224427
         2.08844   400.889679614
         2.08886   540.266518445
         2.08928   811.203148753
          2.0897   989.295180264
         2.09011   1347.14283281
         2.09053   932.900460754
         2.09095   1051.35640103
         2.09137    806.73687746
         2.09179   1535.89749711
         2.09221     1178.681601
         2.09262   754.872784737
         2.09304   950.220669409
         2.09346   812.552468947
         2.09388   1380.02849031
          2.0943   865.021503315
         2.09472   807.042566057
         2.09513   591.538540623
         2.09555   985.275107064
         2.09597   528.218097352
         2.09639   366.807009921
         2.09681   297.701007727
         2.09723   948.353287487
         2.09765   992.921612359
         2.09807   849.283367224
         2.09849   522.034606957
         2.09891   779.039345376
         2.09933   1138.48086899
         2.09975   1240.59158635
